,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
0,8467.0,779.0,17,340,2006.0,3,0,4,1.3,200000.0,3,1,1,1,1,2
1,3607.0,862.0,13,329,2011.0,4,1,2,2.5,168966.0,0,0,1,0,14,0
2,39493.0,891.0,18,655,2016.0,4,1,1,2.0,160931.0,0,1,1,0,14,4
3,1803.0,761.0,44,595,2010.0,3,1,2,1.8,258909.0,0,1,1,0,14,12
4,549.0,751.0,18,672,2013.0,8,1,4,2.4,216118.0,0,1,1,0,7,12
5,7683.0,810.0,18,310,2016.0,8,1,4,1.8,121840.0,0,1,1,0,2,12
6,28382.0,810.0,18,310,2016.0,8,1,4,1.8,54317.0,0,1,1,0,14,4
7,20698.0,586.0,44,595,2012.0,8,1,5,1.8,187000.0,0,1,1,0,14,12
8,7840.0,779.0,13,732,2001.0,5,0,1,2.0,230000.0,1,1,0,0,14,0
9,20385.0,779.0,28,292,2006.0,8,1,1,2.2,210000.0,2,2,1,0,1,8
10,30.0,779.0,44,595,2008.0,8,0,2,1.5,169000.0,0,1,1,0,14,8
11,14454.0,583.0,18,310,2011.0,8,1,4,1.6,158787.0,0,1,1,0,12,4
12,23235.0,707.0,18,655,2011.0,4,1,1,2.0,162000.0,0,1,1,0,7,4
13,24462.0,751.0,44,200,2013.0,8,1,4,2.4,203200.0,0,1,1,0,2,4
14,20165.0,650.0,47,448,2016.0,8,1,4,1.4,11200.0,2,1,1,0,1,8
15,12544.0,779.0,44,101,2012.0,3,0,2,1.5,141500.0,0,1,1,1,1,8
16,17249.0,779.0,13,331,2008.0,4,0,2,2.3,147000.0,3,0,1,0,14,8
17,34889.0,891.0,17,228,2016.0,8,1,4,2.0,87768.0,0,1,1,0,2,4
18,14583.0,779.0,35,524,2008.0,8,0,1,1.5,132542.0,1,1,1,0,14,10
19,392.0,1017.0,28,299,2017.0,8,1,4,2.0,1600.0,0,2,1,0,1,12
20,8781.0,779.0,28,140,2001.0,1,0,4,2.0,260000.0,1,2,0,0,2,0
21,1411.0,629.0,32,463,2015.0,4,1,4,1.6,87112.0,0,0,1,0,1,0
22,23521.0,781.0,6,271,2018.0,8,0,4,1.4,22000.0,0,1,1,0,11,6
23,10349.0,779.0,44,752,2007.0,6,1,4,2.4,170000.0,0,1,1,1,1,6
24,5331.0,779.0,28,66,2004.0,8,0,4,1.6,130000.0,2,1,1,0,1,6
25,20526.0,640.0,18,745,2013.0,4,1,1,2.0,200279.0,0,1,1,0,7,4
26,34657.0,777.0,18,411,2014.0,6,1,1,2.5,154672.0,0,1,1,0,12,4
27,314.0,779.0,44,200,2013.0,8,1,2,2.5,225510.0,0,1,1,0,14,12
28,5488.0,779.0,44,785,2001.0,3,0,4,1.5,210000.0,1,1,1,1,13,3
29,30063.0,934.0,18,411,2015.0,9,1,1,2.5,148105.0,0,1,1,0,12,4
30,15800.0,769.0,6,215,2011.0,4,1,1,2.2,255456.0,0,1,1,0,12,4
31,14740.0,645.0,44,595,2011.0,3,0,2,1.8,288000.0,0,1,1,0,14,8
32,42337.0,779.0,13,535,2016.0,0,1,4,2.3,75000.0,2,2,0,0,12,6
33,18189.0,779.0,44,595,2012.0,8,0,4,1.8,175000.0,0,1,1,0,12,8
34,7527.0,830.0,44,816,2019.0,8,1,4,1.5,27656.0,0,1,1,0,14,12
35,21953.0,781.0,44,200,2012.0,8,0,4,2.5,195053.0,0,1,1,0,1,0
36,36065.0,639.0,18,655,2014.0,4,1,1,2.0,69191.0,0,1,1,0,14,4
37,6247.0,760.0,6,268,2010.0,8,1,4,1.8,40772.0,0,1,1,0,1,4
38,16289.0,642.0,6,554,2012.0,4,1,1,2.0,172000.0,0,1,1,0,7,4
